layer,pair,mean_angle_deg,min_angle_deg,avg_cos2
final_ln,trained_vs_control_p0,86.28683740791058,82.58892302101675,0.008318898962238145
final_ln,trained_vs_control_p1,85.07434465931036,82.8340156934855,0.008878049381161634
final_ln,trained_vs_control_p2,83.05916971856561,81.5387347654281,0.015286800950447392
final_ln,trained_vs_control_block,81.373829087907,75.4102462562288,0.03280486900250824
layer1,trained_vs_control_p0,77.8884828234805,69.05159737467764,0.06554426552262455
layer1,trained_vs_control_p1,78.09909686472565,70.01499788911235,0.06062033877556468
layer1,trained_vs_control_p2,79.45214225700536,70.74275171216654,0.0549019640622358
layer1,trained_vs_control_block,84.08249659004727,79.4752840597241,0.016943723114722215
