dim,perproc_mse_val_weighted,perproc_mae_val_weighted,perproc_soft_ce_val_weighted,joint_mse_val,joint_mae_val,joint_soft_ce_val,joint_block_acc_val,joint_true_block_mass_mean_val
4,0.020832428300859167,0.10920218114655975,0.7790956064716212,0.05533915385603905,0.15152768790721893,1.869429349899292,0.35354167222976685,0.33367276191711426
8,0.015077837343523588,0.09218143719245175,0.6765846771777037,0.05459754541516304,0.1498551368713379,1.7755961418151855,0.34812501072883606,0.3340637981891632
12,0.006688446001420749,0.059531723641329415,0.6140246696686895,0.052877627313137054,0.14857877790927887,1.7121338844299316,0.3859027922153473,0.3370417058467865
16,0.0027237511458371136,0.03687816498244039,0.5746357952809219,0.05149728059768677,0.14569354057312012,1.6833683252334595,0.4079861044883728,0.34742221236228943
24,0.002551267191800804,0.03524182970645229,0.5777611698709291,0.050846800208091736,0.1440013200044632,1.7001972198486328,0.42173612117767334,0.3559240698814392
32,0.0023835290492842816,0.03413068438224967,0.5815054770455859,0.050246816128492355,0.14257577061653137,1.7248698472976685,0.42201387882232666,0.3627103567123413
48,0.0021548305038912056,0.03193042900496829,0.5765351472641973,0.04966270923614502,0.1410788893699646,1.730252742767334,0.4406944513320923,0.37049758434295654
